id;name;logo_url;salary;created_at;updated_at
1;reciprocal payment;Kuwait;76676;2020-03-06T08:09:45;2020-03-06T21:22:17
2;architecture invoice Rhode Island;networks disintermediate array;93432;2020-03-06T18:22:59;2020-03-06T15:06:30
3;XSS;engage world-class Integration;736;2020-03-06T14:09:16;2020-03-06T10:31:04
4;Program hard drive Gorgeous;Internal PNG;48522;2020-03-07T00:04:30;2020-03-06T10:05:32
5;compressing content quantify;virtual;89900;2020-03-06T04:22:26;2020-03-06T01:44:57
6;Licensed;morph Legacy;43375;2020-03-06T14:09:38;2020-03-06T10:24:18
7;Corporate Customer-focused;web services;7367;2020-03-06T07:52:28;2020-03-06T07:57:57
8;Savings Account Mouse back-end;Mill Ergonomic online;1397;2020-03-06T22:11:10;2020-03-06T06:37:42
9;Handcrafted Plastic Salad Idaho;Branding parsing;29430;2020-03-06T19:20:38;2020-03-06T17:23:21
10;copying;Gibraltar regional;55479;2020-03-06T20:53:35;2020-03-07T00:33:17
